*Frequency 	VF1-abs (dB)	VF1-phase (deg)
1.19784327782586	-22.5299315621605	83.6728833966049
1.19977552987138	-22.5161011318701	83.6627595006908
1.20171089885052	-22.502271242437	83.6526196695071
1.20364938979121	-22.4884418955655	83.6424638792354
1.20559100772953	-22.4746130929644	83.6322921060274
1.20753575770967	-22.4607848363482	83.6221043260059
1.20948364478394	-22.446957127436	83.6119005152632
1.21143467401283	-22.4331299679532	83.6016806498631
1.21338885046498	-22.4193033596295	83.5914447058388
1.21534617921719	-22.4054773042007	83.5811926591952
1.21730666535447	-22.3916518034077	83.5709244859066
1.21927031397004	-22.3778268589957	83.5606401619177
1.22123713016531	-22.3640024727173	83.5503396631447
1.22320711904993	-22.3501786463286	83.540022965473
1.2251802857418	-22.3363553815919	83.529690044759
1.22715663536708	-22.322532680275	83.5193408768296
