# Acquisizione Analog Discovery 2
# Timestamp 2025-10-02 09:46:21
# time	ch1
2.153376399999999691e-01	-4.684792290312519980e-02
2.154328799999999655e-01	-1.468074715052486989e-01
2.155281199999999897e-01	-2.393626090998074718e-01
2.156233599999999861e-01	-3.430243632057133341e-01
2.157185999999999826e-01	-4.355795008002720792e-01
2.158138399999999790e-01	-5.170280218834838459e-01
2.159090799999999755e-01	-6.466052145158661668e-01
2.160043199999999719e-01	-7.132449135839484811e-01
2.160995599999999683e-01	-8.206088731936366232e-01
2.161947999999999648e-01	1.119346810788315549e+00
2.162900399999999890e-01	1.049004906216450816e+00
2.163852799999999854e-01	9.305343300954155294e-01
2.164805199999999819e-01	8.268725759895096949e-01
2.165757599999999783e-01	7.343174383949510053e-01
2.166709999999999747e-01	6.417623008003922047e-01
2.167662399999999712e-01	5.455049577020509854e-01
2.168614799999999676e-01	4.492476146037098772e-01
2.169567199999999640e-01	3.492880660015864058e-01
2.170519599999999882e-01	2.641373394145923315e-01
2.171471999999999847e-01	1.419645577897747368e-01
2.172424399999999811e-01	6.421824221034534708e-02
2.173376799999999776e-01	-3.203910088799578892e-02
2.174329199999999740e-01	-1.319986494901192742e-01
2.175281599999999704e-01	-2.393626090998074718e-01
2.176233999999999669e-01	-3.467265687094956417e-01
2.177186399999999633e-01	-4.466861173116191686e-01
2.178138799999999875e-01	-5.392412549061779137e-01
2.179091199999999839e-01	-6.429030090120837482e-01
2.180043599999999804e-01	-7.317559411028602412e-01
2.180995999999999768e-01	-8.280132842012013494e-01
2.181948399999999733e-01	1.134155632803445002e+00
2.182900799999999697e-01	1.023089467689974441e+00
2.183853199999999661e-01	9.305343300954155294e-01
2.184805599999999626e-01	8.305747814932921136e-01
2.185757999999999868e-01	7.417218494025156206e-01
2.186710399999999832e-01	6.380600952966097861e-01
2.187662799999999796e-01	5.418027521982686778e-01
2.188615199999999761e-01	4.270343815810158095e-01
2.189567599999999725e-01	3.455858604978040427e-01
2.190519999999999690e-01	2.567329284070276052e-01
2.191472399999999654e-01	1.567733798049041338e-01
2.192424799999999618e-01	5.681383120278064164e-02
2.193377199999999860e-01	-5.425233391068989830e-02
2.194329599999999825e-01	-1.505096770090310343e-01
2.195281999999999789e-01	-2.319581980922427733e-01
2.196234399999999753e-01	-3.282155411905838815e-01
2.197186799999999718e-01	-4.429839118078368054e-01
2.198139199999999682e-01	-5.355390494023956061e-01
2.199091599999999647e-01	-6.206897759893896804e-01
2.200043999999999889e-01	-7.280537355990778225e-01
2.200996399999999853e-01	-8.243110786974190418e-01
2.201948799999999817e-01	-4.170684732813603190e-01
2.202901199999999782e-01	1.026791673193756749e+00
2.203853599999999746e-01	9.231299190878509142e-01
2.204805999999999711e-01	8.379791925008568398e-01
2.205758399999999675e-01	7.417218494025156206e-01
2.206710799999999639e-01	6.454645063041745123e-01
2.207663199999999881e-01	5.529093687096157117e-01
2.208615599999999846e-01	4.307365870847981171e-01
2.209567999999999810e-01	3.455858604978040427e-01
2.210520399999999774e-01	2.641373394145923315e-01
2.211472799999999739e-01	1.530711743011217707e-01
2.212425199999999703e-01	3.830280368386888151e-02
2.213377599999999668e-01	-5.055012840690754905e-02
2.214329999999999632e-01	-1.282964439863369388e-01
2.215282399999999874e-01	-2.504692256111545334e-01
2.216234799999999838e-01	-3.319177466943662447e-01
2.217187199999999803e-01	-4.244728842889250453e-01
2.218139599999999767e-01	-5.318368438986131874e-01
2.219091999999999731e-01	-6.354985980045190219e-01
2.220044399999999696e-01	-7.280537355990778225e-01
2.220996799999999660e-01	-8.169066676898543156e-01
2.221949199999999625e-01	-8.539287227276778358e-01
2.222901599999999867e-01	1.015685056682409604e+00
2.223853999999999831e-01	9.305343300954155294e-01
2.224806399999999795e-01	8.231703704857273873e-01
2.225758799999999760e-01	7.565306714176450731e-01
2.226711199999999724e-01	6.454645063041745123e-01
2.227663599999999688e-01	5.381005466944863702e-01
2.228615999999999653e-01	4.751630531301863636e-01
2.229568399999999617e-01	3.455858604978040427e-01
2.230520799999999859e-01	2.715417504221570022e-01
2.231473199999999824e-01	1.641777908124688323e-01
2.232425599999999788e-01	5.681383120278064164e-02
2.233377999999999752e-01	-5.055012840690754905e-02
2.234330399999999717e-01	-1.468074715052486989e-01
2.235282799999999681e-01	-2.356604035960251087e-01
2.236235199999999645e-01	-3.430243632057133341e-01
2.237187599999999887e-01	-4.429839118078368054e-01
2.238139999999999852e-01	-5.244324328910485722e-01
2.239092399999999816e-01	-6.280941869969544067e-01
2.240044799999999781e-01	-7.169471190877307887e-01
2.240997199999999745e-01	-8.095022566822895893e-01
2.241949599999999709e-01	-8.983551887730659713e-01
2.242901999999999674e-01	1.045302700712668509e+00
2.243854399999999638e-01	9.342365355991979481e-01
2.244806799999999880e-01	8.379791925008568398e-01
2.245759199999999844e-01	7.380196438987333130e-01
2.246711599999999809e-01	6.528689173117392386e-01
2.247663999999999773e-01	5.381005466944863702e-01
2.248616399999999738e-01	4.566520256112746035e-01
2.249568799999999702e-01	3.418836549940216796e-01
2.250521199999999666e-01	2.678395449183746946e-01
2.251473599999999631e-01	1.604755853086864692e-01
2.252425999999999873e-01	5.681383120278064164e-02
2.253378399999999837e-01	-4.314571739934284361e-02
2.254330799999999801e-01	-1.245942384825545757e-01
2.255283199999999766e-01	-2.282559925884604102e-01
2.256235599999999730e-01	-3.208111301830192108e-01
2.257187999999999695e-01	-4.244728842889250453e-01
2.258140399999999659e-01	-5.244324328910485722e-01
2.259092799999999623e-01	-6.169875704856072618e-01
2.260045199999999865e-01	-7.280537355990778225e-01
2.260997599999999830e-01	-8.280132842012013494e-01
2.261949999999999794e-01	-9.168662162919777314e-01
2.262902399999999759e-01	1.034196084201321364e+00
2.263854799999999723e-01	9.416409466067626743e-01
2.264807199999999687e-01	8.268725759895096949e-01
2.265759599999999652e-01	7.454240549062980392e-01
2.266711999999999616e-01	6.417623008003922047e-01
2.267664399999999858e-01	5.640159852209627456e-01
2.268616799999999822e-01	4.529498201074922403e-01
2.269569199999999787e-01	3.715012990242805291e-01
2.270521599999999751e-01	2.456263118956805713e-01
2.271473999999999716e-01	1.678799963162511955e-01
2.272426399999999680e-01	5.681383120278064164e-02
2.273378799999999644e-01	-5.425233391068989830e-02
2.274331199999999609e-01	-1.505096770090310343e-01
2.275283599999999851e-01	-2.504692256111545334e-01
2.276235999999999815e-01	-3.393221577019309709e-01
2.277188399999999779e-01	-4.318772952964897716e-01
2.278140799999999744e-01	-5.318368438986131874e-01
2.279093199999999708e-01	-6.429030090120837482e-01
2.280045599999999673e-01	-7.243515300952955149e-01
2.280997999999999637e-01	-8.317154897049836570e-01
2.281950399999999879e-01	-8.798441612541543222e-01
2.282902799999999843e-01	1.045302700712668509e+00
2.283855199999999808e-01	9.268321245916332218e-01
2.284807599999999772e-01	8.342769869970744212e-01
2.285759999999999736e-01	7.528284659138626544e-01
2.286712399999999701e-01	6.528689173117392386e-01
2.287664799999999665e-01	5.418027521982686778e-01
2.288617199999999630e-01	4.603542311150569666e-01
2.289569599999999872e-01	3.677990935204981660e-01
2.290521999999999836e-01	2.604351339108099683e-01
2.291474399999999800e-01	1.456667632935570722e-01
2.292426799999999765e-01	4.940942019521593620e-02
2.293379199999999729e-01	-4.684792290312519980e-02
2.294331599999999693e-01	-1.394030604976839727e-01
2.295283999999999658e-01	-2.467670201073721703e-01
2.296236399999999622e-01	-3.393221577019309709e-01
2.297188799999999864e-01	-4.503883228154014762e-01
2.298141199999999829e-01	-5.355390494023956061e-01
2.299093599999999793e-01	-6.354985980045190219e-01
2.300045999999999757e-01	-7.243515300952955149e-01
2.300998399999999722e-01	-8.169066676898543156e-01
2.301950799999999686e-01	-9.205684217957601501e-01
2.302903199999999651e-01	1.030493878697539056e+00
2.303855599999999615e-01	9.305343300954155294e-01
2.304807999999999857e-01	8.342769869970744212e-01
2.305760399999999821e-01	7.565306714176450731e-01
2.306712799999999786e-01	6.417623008003922047e-01
2.307665199999999750e-01	5.566115742133981303e-01
2.308617599999999714e-01	4.492476146037098772e-01
2.309569999999999679e-01	3.752035045280628367e-01
2.310522399999999643e-01	2.530307229032452421e-01
2.311474799999999608e-01	1.715822018200335308e-01
2.312427199999999849e-01	7.162265321791004558e-02
2.313379599999999814e-01	-3.574130639177814511e-02
2.314331999999999778e-01	-1.208920329787722264e-01
2.315284399999999743e-01	-2.467670201073721703e-01
2.316236799999999707e-01	-3.245133356868015739e-01
2.317189199999999671e-01	-4.281750897927074084e-01
2.318141599999999636e-01	-5.244324328910485722e-01
2.319093999999999878e-01	-6.243919814931719880e-01
2.320046399999999842e-01	-7.206493245915132073e-01
2.320998799999999807e-01	-8.132044621860718969e-01
2.321951199999999771e-01	-8.946529832692836637e-01
2.322903599999999735e-01	1.045302700712668509e+00
2.323855999999999700e-01	9.379387411029802557e-01
2.324808399999999664e-01	8.490858090122038737e-01
2.325760799999999628e-01	7.454240549062980392e-01
2.326713199999999870e-01	6.491667118079568199e-01
2.327665599999999835e-01	5.455049577020509854e-01
2.328617999999999799e-01	4.418432035961452065e-01
2.329570399999999764e-01	3.566924770091511321e-01
2.330522799999999728e-01	2.641373394145923315e-01
2.331475199999999692e-01	1.715822018200335308e-01
2.332427599999999657e-01	7.532485872169239483e-02
2.333379999999999621e-01	-3.944351189556049436e-02
2.334332399999999863e-01	-1.431052660014663358e-01
2.335284799999999827e-01	-2.393626090998074718e-01
2.336237199999999792e-01	-3.356199521981486078e-01
2.337189599999999756e-01	-4.318772952964897716e-01
2.338141999999999721e-01	-5.281346383948308798e-01
2.339094399999999685e-01	-6.317963925007367143e-01
2.340046799999999649e-01	-7.243515300952955149e-01
2.340999199999999614e-01	-8.132044621860718969e-01
2.341951599999999856e-01	-9.057595997806306976e-01
2.342903999999999820e-01	1.023089467689974441e+00
2.343856399999999784e-01	9.268321245916332218e-01
2.344808799999999749e-01	8.305747814932921136e-01
2.345761199999999713e-01	7.676372879289921070e-01
2.346713599999999678e-01	6.306556842890450598e-01
2.347665999999999642e-01	5.566115742133981303e-01
