# Acquisizione Analog Discovery 2
# Timestamp 2025-10-02 12:02:52
# time	ch1	ch2
3.699999999999999811e-05	5.362074318122889593e+00	2.374615974955714304e+00
3.799999999999999532e-05	5.347265496107761251e+00	2.393164908112226819e+00
3.899999999999999929e-05	5.354669907115326311e+00	2.448811707581763475e+00
3.999999999999999650e-05	5.365776523626673011e+00	2.467360640738275546e+00
4.100000000000000047e-05	5.358372112619107952e+00	2.500748720419997628e+00
4.199999999999999768e-05	5.358372112619107952e+00	2.523007440207812646e+00
4.299999999999999488e-05	5.362074318122889593e+00	2.567524879783441794e+00
4.399999999999999886e-05	5.362074318122889593e+00	2.586073812939954308e+00
4.499999999999999606e-05	5.354669907115326311e+00	2.626881465884280953e+00
4.600000000000000004e-05	5.376883140138019712e+00	2.630591252515583456e+00
4.699999999999999724e-05	5.380585345641801354e+00	2.675108692091213047e+00
4.800000000000000122e-05	5.373180934634238071e+00	2.697367411879027621e+00
4.899999999999999842e-05	5.365776523626673011e+00	2.715916345035539692e+00
4.999999999999999562e-05	5.387989756649366413e+00	2.734465278192052207e+00
5.099999999999999960e-05	5.391691962153149831e+00	2.764143571242471786e+00
5.199999999999999680e-05	5.380585345641801354e+00	2.790112077661588863e+00
5.300000000000000078e-05	5.395394167656931472e+00	2.801241437555496372e+00
5.399999999999999798e-05	5.387989756649366413e+00	2.816080584080705940e+00
5.499999999999999518e-05	5.369478729130454653e+00	2.849468663762428022e+00
5.599999999999999916e-05	5.380585345641801354e+00	2.860598023656335531e+00
5.699999999999999636e-05	5.380585345641801354e+00	2.868017596918940093e+00
5.800000000000000034e-05	5.387989756649366413e+00	2.905115463231964679e+00
5.899999999999999754e-05	5.380585345641801354e+00	2.919954609757174691e+00
5.999999999999999474e-05	5.380585345641801354e+00	2.927374183019779252e+00
6.099999999999999872e-05	5.399096373160713114e+00	2.938503542913686761e+00
6.200000000000000270e-05	5.399096373160713114e+00	2.964472049332803838e+00
6.299999999999999990e-05	5.387989756649366413e+00	2.990440555751920915e+00
6.399999999999999710e-05	5.384287551145584771e+00	2.964472049332803838e+00
6.499999999999999431e-05	5.384287551145584771e+00	2.997860129014525921e+00
6.599999999999999151e-05	5.380585345641801354e+00	3.005279702277130927e+00
6.700000000000000226e-05	5.369478729130454653e+00	3.027538422064945500e+00
6.799999999999999946e-05	5.387989756649366413e+00	3.038667781958853009e+00
6.899999999999999667e-05	5.391691962153149831e+00	3.057216715115365080e+00
6.999999999999999387e-05	5.384287551145584771e+00	3.075765648271877595e+00
7.099999999999999107e-05	5.395394167656931472e+00	3.072055861640575092e+00
7.200000000000000182e-05	5.384287551145584771e+00	3.109153727953599677e+00
7.299999999999999903e-05	5.387989756649366413e+00	3.098024368059692168e+00
7.399999999999999623e-05	5.399096373160713114e+00	3.112863514584901736e+00
7.499999999999999343e-05	5.395394167656931472e+00	3.116573301216204239e+00
7.599999999999999063e-05	5.384287551145584771e+00	3.131412447741414251e+00
7.700000000000000139e-05	5.380585345641801354e+00	3.135122234372716754e+00
7.799999999999999859e-05	5.410202989672061591e+00	3.135122234372716754e+00
7.899999999999999579e-05	5.399096373160713114e+00	3.168510314054438837e+00
7.999999999999999299e-05	5.391691962153149831e+00	3.172220100685740896e+00
8.099999999999999019e-05	5.399096373160713114e+00	3.172220100685740896e+00
8.200000000000000095e-05	5.406500784168278173e+00	3.172220100685740896e+00
8.299999999999999815e-05	5.406500784168278173e+00	3.194478820473555913e+00
8.399999999999999535e-05	5.391691962153149831e+00	3.179639673948345902e+00
8.499999999999999255e-05	5.406500784168278173e+00	3.194478820473555913e+00
8.599999999999998976e-05	5.391691962153149831e+00	3.183349460579648404e+00
8.700000000000000051e-05	5.391691962153149831e+00	3.198188607104858416e+00
8.799999999999999771e-05	5.380585345641801354e+00	3.209317966998765481e+00
8.899999999999999491e-05	5.399096373160713114e+00	3.227866900155277996e+00
8.999999999999999212e-05	5.365776523626673011e+00	3.231576686786580499e+00
9.099999999999998932e-05	5.399096373160713114e+00	3.224157113523975493e+00
9.200000000000000007e-05	5.406500784168278173e+00	3.224157113523975493e+00
9.299999999999999727e-05	5.384287551145584771e+00	3.253835406574395073e+00
9.399999999999999448e-05	5.387989756649366413e+00	3.253835406574395073e+00
9.499999999999999168e-05	5.395394167656931472e+00	3.242706046680487564e+00
9.600000000000000243e-05	5.384287551145584771e+00	3.231576686786580499e+00
9.699999999999999963e-05	5.399096373160713114e+00	3.250125619943092570e+00
9.799999999999999684e-05	5.391691962153149831e+00	3.238996260049185061e+00
9.899999999999999404e-05	5.406500784168278173e+00	3.253835406574395073e+00
9.999999999999999124e-05	5.399096373160713114e+00	3.250125619943092570e+00
1.010000000000000020e-04	5.384287551145584771e+00	3.272384339730907143e+00
