# f  Gain  sGain  Phase sPhase
5.353566677410725561e+00 2.800469427181875859e-01 7.271142705737651123e-05 1.143481671697136326e+00 1.973097921360780901e-04
5.672426068491978945e+00 2.935914423902944437e-01 7.159368051624925844e-05 1.121217093455086022e+00 1.888926638974898194e-04
6.010276782070383739e+00 3.074812377241749606e-01 5.546622299188045454e-05 1.098177499197350304e+00 1.596055108283903035e-04
6.368249944718588296e+00 3.218240618938993380e-01 6.772598356302377096e-05 1.074295059889388559e+00 1.579271034019325590e-04
6.747544053110694939e+00 3.364745648263033906e-01 9.092802979200487602e-05 1.049713931826096847e+00 1.608674370911464832e-04
7.149428986597579083e+00 3.511982834324576808e-01 7.617904787831099290e-05 1.024379373365841506e+00 1.711258222295773375e-04
7.575250258771914602e+00 3.661745346294509318e-01 6.353283026279337256e-05 9.983138977830442462e-01 1.375895432477497091e-04
8.026433522257175213e+00 3.812915706124097581e-01 6.127559082379904960e-05 9.716305825527719042e-01 1.370220538633371476e-04
8.504489341802679903e+00 3.963602977391149640e-01 7.380202798789223229e-05 9.443981484623191758e-01 1.002080956155201131e-04
9.011018251665021239e+00 4.114199889236462293e-01 7.156398095763308158e-05 9.166187069568118018e-01 1.240147470705980741e-04
9.547716114208059324e+00 4.265480522274399666e-01 7.352271314561125424e-05 8.884935231593682481e-01 1.324516311478036534e-04
1.011637979766207529e+01 4.415286085793869164e-01 7.295989498261643653e-05 8.599469916355756416e-01 1.268878129374046554e-04
1.071891319205128035e+01 4.560743488795962475e-01 7.914355237891621908e-05 8.311572759160787971e-01 1.431815675202234258e-04
1.135733358343105692e+01 4.704533997735323991e-01 8.358472654361479915e-05 8.022191160235055962e-01 1.313289145290847857e-04
1.203377840777589824e+01 4.844677924145350256e-01 7.926049981647466337e-05 7.731685321267488531e-01 9.164226235707359427e-05
1.275051240713013456e+01 4.980565212797127828e-01 8.524130139624522056e-05 7.441704815528837891e-01 1.217129231855326613e-04
1.350993521198027203e+01 5.110000726306599406e-01 9.689176503008813883e-05 7.152784104034977108e-01 1.118256070852679959e-04
1.431458937523479236e+01 5.234925820319692447e-01 2.467395881957623843e-04 6.865994053450638068e-01 1.230125179860429004e-04
1.516716888470923230e+01 5.351049987738490943e-01 4.890148058252095833e-04 6.582324896674635051e-01 1.016442600649760286e-04
1.607052818261639260e+01 5.463152604299995607e-01 4.676330782996204901e-04 6.302374746723721222e-01 1.085252257605701185e-04
1.702769172225900363e+01 5.569566055084151923e-01 2.973595387861041345e-04 6.027210340765639662e-01 8.536931417717916128e-05
1.804186409392072576e+01 5.669394645244937303e-01 9.823321527802646354e-05 5.757102410113577040e-01 7.870958031893278168e-05
1.911644075385702735e+01 5.765090005734019307e-01 9.738061346618344383e-05 5.493471900222246518e-01 1.047889839260411475e-04
2.025501939230667503e+01 5.854334007769064208e-01 1.410633826930667446e-04 5.235873836425704031e-01 9.259720493172550091e-05
