# Acquisizione Analog Discovery 2
# Timestamp 2025-10-14 10:30:19
# time	ch1	ch2
-1.689999999999999879e-04	-1.266277910515845873e-01	-1.672349583248681215e+00
-1.679999999999999907e-04	-1.378581117687344704e-01	-1.653665494527033708e+00
-1.669999999999999935e-04	-1.041671496172848349e-01	-1.631244588061056433e+00
-1.659999999999999963e-04	-1.303712312906345483e-01	-1.612560499339408926e+00
-1.649999999999999991e-04	-1.266277910515845873e-01	-1.578929139640443013e+00
-1.640000000000000019e-04	-1.116540300953847431e-01	-1.578929139640443013e+00
-1.630000000000000047e-04	-1.116540300953847431e-01	-1.552771415430136415e+00
-1.619999999999999804e-04	-1.228843508125346262e-01	-1.545297779941477323e+00
-1.609999999999999832e-04	-1.228843508125346262e-01	-1.545297779941477323e+00
-1.599999999999999860e-04	-1.041671496172848349e-01	-1.519140055731170724e+00
-1.589999999999999888e-04	-1.191409105734846652e-01	-1.504192784753852541e+00
-1.579999999999999916e-04	-8.919338866108499075e-02	-1.466824607310557305e+00
-1.569999999999999944e-04	-1.116540300953847431e-01	-1.474298242799216396e+00
-1.559999999999999972e-04	-1.153974703344347041e-01	-1.440666883100250484e+00
-1.550000000000000000e-04	-9.293682890013495179e-02	-1.403298705656955248e+00
-1.540000000000000028e-04	-9.668026913918491283e-02	-1.407035523401284793e+00
-1.530000000000000056e-04	-1.041671496172848349e-01	-1.362193710469330465e+00
-1.519999999999999813e-04	-8.919338866108499075e-02	-1.328562350770364775e+00
-1.509999999999999841e-04	-1.153974703344347041e-01	-1.336035986259023867e+00
-1.499999999999999869e-04	-1.041671496172848349e-01	-1.313615079793046592e+00
-1.489999999999999897e-04	-9.668026913918491283e-02	-1.294930991071399085e+00
-1.479999999999999925e-04	-8.544994842203502972e-02	-1.306141444304387500e+00
-1.469999999999999953e-04	-9.293682890013495179e-02	-1.261299631372433172e+00
-1.459999999999999981e-04	-9.293682890013495179e-02	-1.261299631372433172e+00
-1.450000000000000009e-04	-1.004237093782348739e-01	-1.227668271673467482e+00
-1.440000000000000036e-04	-8.919338866108499075e-02	-1.220194636184808390e+00
-1.430000000000000064e-04	-8.170650818298506868e-02	-1.190300094230172245e+00
-1.419999999999999821e-04	-8.170650818298506868e-02	-1.167879187764194970e+00
-1.409999999999999849e-04	-9.293682890013495179e-02	-1.130511010320899734e+00
-1.399999999999999877e-04	-9.293682890013495179e-02	-1.141721463553888372e+00
-1.389999999999999905e-04	-5.550242650963535529e-02	-1.119300557087911097e+00
-1.379999999999999933e-04	-6.673274722678523840e-02	-1.085669197388945406e+00
-1.369999999999999961e-04	-8.170650818298506868e-02	-1.074458744155956769e+00
-1.359999999999999989e-04	-8.170650818298506868e-02	-1.029616931224002441e+00
-1.350000000000000017e-04	-7.047618746583519944e-02	-1.044564202201320624e+00
-1.340000000000000045e-04	-7.796306794393512152e-02	-1.022143295735343571e+00
-1.330000000000000073e-04	-8.170650818298506868e-02	-9.885119360363778807e-01
-1.319999999999999830e-04	-6.673274722678523840e-02	-9.847751182920483348e-01
-1.309999999999999858e-04	-5.550242650963535529e-02	-9.586173940817416250e-01
-1.299999999999999886e-04	-5.924586674868531633e-02	-9.511437585930825334e-01
-1.289999999999999914e-04	-5.924586674868531633e-02	-9.324596698714349152e-01
-1.279999999999999942e-04	-4.801554603153544015e-02	-9.100387634054577513e-01
